Program,Matrix,Threads,Avg,Median,StdDev
PYTHON,512,1,0.242557,0.252463,0.0445842
CPP,512,1,0.0219103,0.0215696,0.00104605
PYTHON,512,2,0.239081,0.238861,0.0189112
CPP,512,2,0.0198725,0.0194374,0.00103947
PYTHON,512,4,0.292791,0.289383,0.0160724
CPP,512,4,0.0186189,0.0182615,0.000814976
PYTHON,512,6,0.368308,0.363866,0.0262936
CPP,512,6,0.019735,0.019254,0.000935865
PYTHON,512,8,0.425516,0.41817,0.0315384
CPP,512,8,0.0202633,0.0199115,0.000830316
PYTHON,1024,1,0.328999,0.315864,0.027683
CPP,1024,1,0.113957,0.112937,0.004813
PYTHON,1024,2,0.359781,0.362039,0.0130957
CPP,1024,2,0.09018,0.091396,0.00306511
PYTHON,1024,4,0.494113,0.492327,0.017784
CPP,1024,4,0.0831887,0.0831586,0.00427946
PYTHON,1024,6,0.62769,0.618717,0.0426905
CPP,1024,6,0.0776319,0.0770261,0.00152049
PYTHON,1024,8,0.795009,0.789057,0.0331729
CPP,1024,8,0.0843025,0.0837712,0.00650643
PYTHON,2048,1,0.914889,0.893371,0.057038
CPP,2048,1,0.723806,0.742343,0.0331147
PYTHON,2048,2,0.920482,0.924351,0.0282547
CPP,2048,2,0.496981,0.506204,0.0206999
PYTHON,2048,4,1.06716,1.06212,0.03265
CPP,2048,4,0.386607,0.390512,0.00814207
PYTHON,2048,6,1.35743,1.34925,0.0422406
CPP,2048,6,0.430568,0.441915,0.0207866
PYTHON,2048,8,1.67567,1.66684,0.0533355
CPP,2048,8,0.417114,0.411201,0.018444
PYTHON,4096,1,3.93856,3.84682,0.230132
CPP,4096,1,4.89068,5.01677,0.27404
PYTHON,4096,2,3.46427,3.46658,0.059128
CPP,4096,2,3.08047,3.09802,0.0895065
PYTHON,4096,4,4.16527,4.16863,0.0352447
CPP,4096,4,2.30774,2.29522,0.0488354
PYTHON,4096,6,4.9956,4.98736,0.0829198
CPP,4096,6,2.27899,2.26905,0.0487187
PYTHON,4096,8,5.57753,5.57805,0.053923
CPP,4096,8,2.35179,2.35708,0.0348778
