Program,Matrix,Threads,Avg,Median,StdDev
PYTHON,512,1,0.103547,0.0952135,0.0388371
CPP,512,1,0.00761921,0.00760984,0.00043067
PYTHON,512,2,0.115242,0.115419,0.0251447
CPP,512,2,0.00568749,0.00554389,0.000457289
PYTHON,512,4,0.16512,0.168347,0.0217894
CPP,512,4,0.00496823,0.00482685,0.000507207
PYTHON,512,6,0.217267,0.222481,0.023775
CPP,512,6,0.00625187,0.00611879,0.000447436
PYTHON,512,8,0.315373,0.304992,0.0386324
CPP,512,8,0.00707952,0.00707139,0.000277362
PYTHON,1024,1,0.227894,0.235864,0.0366805
CPP,1024,1,0.0544523,0.053108,0.00432075
PYTHON,1024,2,0.226651,0.22267,0.0281849
CPP,1024,2,0.0361314,0.0357337,0.00159032
PYTHON,1024,4,0.350335,0.343182,0.0171256
CPP,1024,4,0.0313854,0.0312682,0.000784215
PYTHON,1024,6,0.496286,0.485997,0.0398449
CPP,1024,6,0.0303793,0.0301535,0.000743978
PYTHON,1024,8,0.656184,0.666097,0.0294251
CPP,1024,8,0.0345717,0.030971,0.00627462
PYTHON,2048,1,0.73788,0.71453,0.073605
CPP,2048,1,0.439281,0.442894,0.0141656
PYTHON,2048,2,0.756738,0.765767,0.0341669
CPP,2048,2,0.265027,0.26163,0.0115303
PYTHON,2048,4,0.89151,0.886814,0.0168139
CPP,2048,4,0.185753,0.184359,0.00503337
PYTHON,2048,6,1.20568,1.20065,0.0312302
CPP,2048,6,0.216502,0.216309,0.0020127
PYTHON,2048,8,1.48029,1.47844,0.0143458
CPP,2048,8,0.21747,0.214609,0.00801388
PYTHON,4096,1,4.00978,3.88445,0.315285
CPP,4096,1,3.85741,3.72083,0.409169
PYTHON,4096,2,3.50095,3.47655,0.121197
CPP,4096,2,2.17766,2.16653,0.0604006
PYTHON,4096,4,4.20907,4.2128,0.0701018
CPP,4096,4,1.63183,1.63567,0.0544352
PYTHON,4096,6,9.13441,5.80245,4.84688
CPP,4096,6,1.70328,1.79838,0.237235
PYTHON,4096,8,6.66218,6.51582,0.524204
CPP,4096,8,2.01952,1.99528,0.101826
