Program,Matrix,Threads,Avg,Median,StdDev
PYTHON,512,1,0.0868311,0.070963,0.031753
CPP,512,1,0.00790576,0.00727646,0.00133549
PYTHON,512,2,0.0867204,0.0834325,0.0112489
CPP,512,2,0.00567446,0.00534818,0.000673244
PYTHON,512,4,0.160432,0.156378,0.0173226
CPP,512,4,0.00483435,0.00485992,0.000109281
PYTHON,512,6,0.216826,0.222282,0.0280616
CPP,512,6,0.00618951,0.0060218,0.000416855
PYTHON,512,8,0.297073,0.306974,0.0214908
CPP,512,8,0.00685667,0.00687888,0.000238908
PYTHON,1024,1,0.192783,0.196009,0.0430658
CPP,1024,1,0.05488,0.0546949,0.00341191
PYTHON,1024,2,0.209183,0.206035,0.0204551
CPP,1024,2,0.0399262,0.0361134,0.00883464
PYTHON,1024,4,0.342924,0.339407,0.0463134
CPP,1024,4,0.032297,0.0318213,0.00122323
PYTHON,1024,6,0.512511,0.510062,0.0388982
CPP,1024,6,0.031758,0.0318368,0.000387471
PYTHON,1024,8,0.624387,0.612674,0.0472847
CPP,1024,8,0.031164,0.0304648,0.0019254
PYTHON,2048,1,0.67979,0.650389,0.0518311
CPP,2048,1,0.428901,0.420889,0.0180235
PYTHON,2048,2,0.690398,0.694329,0.031562
CPP,2048,2,0.26179,0.260066,0.00772276
PYTHON,2048,4,0.868576,0.860784,0.0428951
CPP,2048,4,0.188066,0.184109,0.00865668
PYTHON,2048,6,1.13664,1.12291,0.0371477
CPP,2048,6,0.216206,0.216321,0.00182943
PYTHON,2048,8,1.41845,1.40678,0.0313203
CPP,2048,8,0.21459,0.215674,0.00484601
PYTHON,4096,1,3.57162,3.59559,0.215265
CPP,4096,1,3.58966,3.62395,0.129304
PYTHON,4096,2,3.16028,3.17721,0.0622974
CPP,4096,2,2.13301,2.1448,0.049044
PYTHON,4096,4,3.88164,3.88018,0.0395245
CPP,4096,4,1.62808,1.61614,0.0447497
PYTHON,4096,6,4.66341,4.64678,0.0742977
CPP,4096,6,1.42331,1.41481,0.0196759
PYTHON,4096,8,5.18518,5.16704,0.063411
CPP,4096,8,1.52336,1.52489,0.0149781
