Program,Matrix,Threads,Avg,Median,StdDev
PYTHON,512,1,0.0889416,0.0766575,0.0275776
CPP-OLD,512,1,0.0434533,0.0440221,0.0012977
CPP-OPT,512,1,0.0142403,0.0140805,0.000604569
PYTHON,512,2,0.0900207,0.0933315,0.0176464
CPP-OLD,512,2,0.0232472,0.0224162,0.00190079
CPP-OPT,512,2,0.00870972,0.00744915,0.00260041
PYTHON,512,4,0.16745,0.165706,0.0205676
CPP-OLD,512,4,0.0112603,0.0111965,0.000403143
CPP-OPT,512,4,0.00664744,0.0052366,0.00287342
PYTHON,512,6,0.221676,0.219483,0.0198299
CPP-OLD,512,6,0.0124777,0.011941,0.00196126
CPP-OPT,512,6,0.00706592,0.00691875,0.000455671
PYTHON,512,8,0.276194,0.277316,0.022307
CPP-OLD,512,8,0.0159918,0.0111175,0.00702771
CPP-OPT,512,8,0.00577634,0.00481051,0.00190517
PYTHON,512,12,0.438027,0.437246,0.0189622
CPP-OLD,512,12,0.0105568,0.0104855,0.000342666
CPP-OPT,512,12,0.00569708,0.00571727,0.000744987
PYTHON,1024,1,0.181914,0.211916,0.0412062
CPP-OLD,1024,1,0.37371,0.368638,0.0200616
CPP-OPT,1024,1,0.129882,0.130797,0.00427325
PYTHON,1024,2,0.195512,0.190866,0.0233626
CPP-OLD,1024,2,0.193662,0.195227,0.0105923
CPP-OPT,1024,2,0.0645628,0.0640402,0.00174888
PYTHON,1024,4,0.341543,0.344456,0.0267591
CPP-OLD,1024,4,0.104324,0.104384,0.00148515
CPP-OPT,1024,4,0.0444835,0.0374302,0.0171858
PYTHON,1024,6,0.710702,0.672848,0.18303
CPP-OLD,1024,6,0.15259,0.148238,0.0240219
CPP-OPT,1024,6,0.0881352,0.0842999,0.0180154
PYTHON,1024,8,0.715786,0.704086,0.0722079
CPP-OLD,1024,8,0.106242,0.103101,0.00987173
CPP-OPT,1024,8,0.0399594,0.0394478,0.00165561
PYTHON,1024,12,1.02103,1.02645,0.0429535
CPP-OLD,1024,12,0.10836,0.10574,0.00706921
CPP-OPT,1024,12,0.0491174,0.0481193,0.00786069
PYTHON,2048,1,0.694935,0.666375,0.0688608
CPP-OLD,2048,1,3.06725,3.023,0.131143
CPP-OPT,2048,1,1.07678,1.06821,0.0410456
PYTHON,2048,2,0.660966,0.662028,0.030506
CPP-OLD,2048,2,1.61031,1.59319,0.0758235
CPP-OPT,2048,2,0.5512,0.538876,0.0314728
PYTHON,2048,4,0.799317,0.795753,0.0278467
CPP-OLD,2048,4,0.902566,0.898545,0.0211018
CPP-OPT,2048,4,0.327838,0.32448,0.0274932
PYTHON,2048,6,1.10737,1.11108,0.0278791
CPP-OLD,2048,6,0.95986,0.942513,0.0497998
CPP-OPT,2048,6,0.401393,0.384385,0.0374091
PYTHON,2048,8,1.49663,1.35527,0.288014
CPP-OLD,2048,8,0.942615,0.941926,0.0243877
CPP-OPT,2048,8,0.382058,0.38083,0.0145364
PYTHON,2048,12,1.98443,1.99501,0.0282317
CPP-OLD,2048,12,0.946374,0.924228,0.0436785
CPP-OPT,2048,12,0.363935,0.358614,0.0154769
PYTHON,4096,1,3.49676,3.46766,0.279289
CPP-OLD,4096,1,27.2829,27.0194,1.15197
CPP-OPT,4096,1,9.2231,9.15972,0.200586
PYTHON,4096,2,2.99645,2.99668,0.120253
CPP-OLD,4096,2,14.3019,14.2988,0.480874
CPP-OPT,4096,2,5.08021,5.04517,0.146337
PYTHON,4096,4,3.72445,3.7008,0.122552
CPP-OLD,4096,4,8.07239,8.01009,0.232642
CPP-OPT,4096,4,2.83208,2.82151,0.0664846
PYTHON,4096,6,4.4938,4.44325,0.117054
CPP-OLD,4096,6,7.87819,7.84785,0.0896478
CPP-OPT,4096,6,3.09902,3.08597,0.0393828
PYTHON,4096,8,5.06276,5.08212,0.102559
CPP-OLD,4096,8,8.06941,8.02554,0.119594
CPP-OPT,4096,8,3.30693,3.31454,0.116811
PYTHON,4096,12,6.63789,6.64037,0.106753
CPP-OLD,4096,12,8.06482,8.05243,0.0626565
CPP-OPT,4096,12,3.17464,3.15083,0.07560182
